emisor,anio,periodo,que_falta,que_pedir,desbloquea,detalle
CEMENTOS_ARGOS,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CEMENTOS_ARGOS,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CONSTRUCTORA_CONCONCRETO,2019,ANUAL,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CONSTRUCTORA_CONCONCRETO,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CONSTRUCTORA_CONCONCRETO,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CONSTRUCTORA_CONCONCRETO,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CORFICOLOMBIANA,2019,ANUAL,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CORFICOLOMBIANA,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CORFICOLOMBIANA,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CORFICOLOMBIANA,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
DAVIVIENDA_GROUP,2025,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
ECOPETROL,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
ECOPETROL,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
ECOPETROL,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
EL_CONDOR,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
EL_CONDOR,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
EL_CONDOR,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
ENKA,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
ENKA,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
ENKA,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
ETB,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
ETB,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
ETB,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
EXITO,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
EXITO,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
EXITO,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
FABRICATO,2018,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
FABRICATO,2018,T4,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
FABRICATO,2019,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
FABRICATO,2019,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
FABRICATO,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
FABRICATO,2022,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
FABRICATO,2022,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
FABRICATO,2023,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GEB,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GEB,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GEB,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GRUPO_ARGOS,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GRUPO_ARGOS,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GRUPO_ARGOS,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GRUPO_AVAL,2019,ANUAL,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GRUPO_AVAL,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GRUPO_AVAL,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GRUPO_AVAL,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GRUPO_CIBEST_BANCOLOMBIA,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GRUPO_CIBEST_BANCOLOMBIA,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GRUPO_CIBEST_BANCOLOMBIA,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GRUPO_NUTRESA,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GRUPO_NUTRESA,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
GRUPO_NUTRESA,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
ISA,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
ISA,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
ISA,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
MINEROS,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
MINEROS,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
MINEROS,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
PROMIGAS,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
PROMIGAS,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
PROMIGAS,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
TERPEL,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
TERPEL,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
TERPEL,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CORFICOLOMBIANA,2021,T1,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
CORFICOLOMBIANA,2022,T1,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
CORFICOLOMBIANA,2022,T2,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
CORFICOLOMBIANA,2023,T1,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
CORFICOLOMBIANA,2025,T1,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
DAVIVIENDA_GROUP,2025,T3,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_ARGOS,2026,T1,XBRL que no sirve,volver a bajar el XBRL de este periodo: el archivo que hay cierra en 2025-09-30,deuda_financiera de esa fila,el .xbrl existe pero su fecha de cierre (2025-09-30) no es la del periodo del nombre
GRUPO_AVAL,2022,T1,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2021,T1,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2021,T2,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2021,T3,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2022,T1,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2022,T2,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2022,T3,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2023,T1,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2023,T2,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2023,T3,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2024,T1,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2024,T2,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2024,T3,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2025,T1,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2025,T2,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2025,T3,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2026,T1,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
GRUPO_CIBEST_BANCOLOMBIA,2026,T2,XBRL que no sirve,revisar con el emisor: el XBRL de este periodo no etiqueta la deuda,deuda_financiera de esa fila,"el .xbrl existe y cierra bien, pero no trae ninguna de las etiquetas de la formula"
ECOPETROL,2025,ANUAL,informe con notas,"Estados Financieros CONSOLIDADOS con NOTAS (la nota de obligaciones financieras / prestamos / bonos), radicados en SIMEV. El informe de gestion o el comunicado de resultados NO sirven",sube ECOPETROL de nivel `estructura` a `nota`: la cifra se compara contra la nota del propio emisor en vez de deducirse de la estructura del XBRL,"el PDF local (Informe Periódico Fin de Ejercicio, 483 pág) es el Informe Integrado de Gestión: no trae el estado de situación financiera ni las notas"
EL_CONDOR,2025,ANUAL,informe con notas,"Estados Financieros CONSOLIDADOS con NOTAS (la nota de obligaciones financieras / prestamos / bonos), radicados en SIMEV. El informe de gestion o el comunicado de resultados NO sirven",sube EL_CONDOR de nivel `estructura` a `nota`: la cifra se compara contra la nota del propio emisor en vez de deducirse de la estructura del XBRL,no hay NINGÚN informe de este emisor en SIMEV_BVC
ENKA,2025,ANUAL,informe con notas,"Estados Financieros CONSOLIDADOS con NOTAS (la nota de obligaciones financieras / prestamos / bonos), radicados en SIMEV. El informe de gestion o el comunicado de resultados NO sirven",sube ENKA de nivel `estructura` a `nota`: la cifra se compara contra la nota del propio emisor en vez de deducirse de la estructura del XBRL,no hay NINGÚN informe de este emisor en SIMEV_BVC
EXITO,2025,ANUAL,informe con notas,"Estados Financieros CONSOLIDADOS con NOTAS (la nota de obligaciones financieras / prestamos / bonos), radicados en SIMEV. El informe de gestion o el comunicado de resultados NO sirven",sube EXITO de nivel `estructura` a `nota`: la cifra se compara contra la nota del propio emisor en vez de deducirse de la estructura del XBRL,no hay NINGÚN informe de este emisor en SIMEV_BVC
FABRICATO,2025,ANUAL,informe con notas,"Estados Financieros CONSOLIDADOS con NOTAS (la nota de obligaciones financieras / prestamos / bonos), radicados en SIMEV. El informe de gestion o el comunicado de resultados NO sirven",sube FABRICATO de nivel `estructura` a `nota`: la cifra se compara contra la nota del propio emisor en vez de deducirse de la estructura del XBRL,no hay NINGÚN informe de este emisor en SIMEV_BVC
